"cell","compartment_call"
"A10_P3_M11","NK"
"A11_P1_M11","T_cell"
"A11_P3_M11","T_cell"
"A11_P4_M11","T_cell"
"A12_P3_M11","T_cell"
"A12_P6_M11","T_cell"
"A2_P1_M11","T_cell"
"A2_P4_M11","T_cell"
"A3_P1_M11","NK"
"A3_P3_M11","T_cell"
"A4_P3_M11","T_cell"
"A4_P4_M11","T_cell"
"A4_P6_M11","T_cell"
"A5_P4_M11","T_cell"
"A5_P5_M11","Myeloid"
"A6_P1_M11","NK"
"A6_P4_M11","T_cell"
"A6_P6_M11","NK"
"A7_P2_M11","T_cell"
"A7_P6_M11","T_cell"
"A8_P1_M11","NK"
"A8_P6_M11","NK"
"A9_P1_M11","T_cell"
"A9_P4_M11","T_cell"
"B10_P1_M11","T_cell"
"B10_P3_M11","T_cell"
"B10_P4_M11","T_cell"
"B10_P6_M11","T_cell"
"B11_P6_M11","T_cell"
"B12_P3_M11","T_cell"
"B12_P4_M11","NK"
"B1_P2_M11","T_cell"
"B1_P4_M11","T_cell"
"B2_P1_M11","T_cell"
"B2_P5_M11","NK"
"B2_P6_M11","T_cell"
"B3_P1_M11","NK"
"B3_P5_M11","T_cell"
"B4_P1_M11","T_cell"
"B4_P4_M11","T_cell"
"B4_P6_M11","NK"
"B5_P1_M11","T_cell"
"B5_P6_M11","NK"
"B6_P1_M11","T_cell"
"B7_P4_M11","T_cell"
"B8_P6_M11","T_cell"
"B9_P2_M11","T_cell"
"C10_P4_M11","T_cell"
"C10_P6_M11","T_cell"
"C11_P4_M11","T_cell"
"C11_P6_M11","T_cell"
"C12_P4_M11","NK"
"C1_P3_M11","NK"
"C1_P4_M11","T_cell"
"C2_P6_M11","Myeloid"
"C3_P1_M11","T_cell"
"C4_P1_M11","T_cell"
"C4_P3_M11","T_cell"
"C4_P4_M11","T_cell"
"C4_P6_M11","T_cell"
"C5_P3_M11","T_cell"
"C5_P5_M11","T_cell"
"C5_P6_M11","T_cell"
"C6_P2_M11","T_cell"
"C6_P3_M11","T_cell"
"C6_P4_M11","T_cell"
"C7_P3_M11","T_cell"
"C7_P5_M11","T_cell"
"C7_P6_M11","NK"
"C8_P3_M11","Unassigned (all modules low)"
"C8_P5_M11","T_cell"
"C9_P1_M11","T_cell"
"C9_P2_M11","NK"
"C9_P4_M11","T_cell"
"D10_P1_M11","T_cell"
"D10_P6_M11","T_cell"
"D11_P6_M11","NK"
"D12_P6_M11","T_cell"
"D1_P1_M11","NK"
"D1_P4_M11","T_cell"
"D1_P6_M11","Myeloid"
"D2_P4_M11","T_cell"
"D2_P6_M11","NK"
"D3_P1_M11","T_cell"
"D3_P3_M11","NK"
"D3_P6_M11","T_cell"
"D4_P1_M11","NK"
"D4_P3_M11","T_cell"
"D4_P4_M11","T_cell"
"D4_P6_M11","T_cell"
"D5_P4_M11","NK"
"D5_P5_M11","NK"
"D5_P6_M11","T_cell"
"D6_P1_M11","T_cell"
"D6_P3_M11","T_cell"
"D6_P5_M11","NK"
"D6_P6_M11","T_cell"
"D7_P3_M11","T_cell"
"D7_P5_M11","T_cell"
"D8_P2_M11","T_cell"
"D8_P3_M11","T_cell"
"D8_P4_M11","T_cell"
"D9_P3_M11","T_cell"
"D9_P4_M11","T_cell"
"D9_P5_M11","T_cell"
"E10_P2_M11","T_cell"
"E10_P4_M11","T_cell"
"E10_P6_M11","Myeloid"
"E11_P6_M11","T_cell"
"E12_P6_M11","T_cell"
"E1_P4_M11","T_cell"
"E2_P5_M11","NK"
"E4_P1_M11","NK"
"E4_P3_M11","T_cell"
"E4_P6_M11","T_cell"
"E5_P3_M11","NK"
"E5_P5_M11","T_cell"
"E6_P1_M11","NK"
"E6_P3_M11","NK"
"E6_P4_M11","NK"
"E6_P5_M11","T_cell"
"E6_P6_M11","T_cell"
"E7_P1_M11","T_cell"
"E7_P2_M11","T_cell"
"E7_P3_M11","T_cell"
"E7_P5_M11","NK"
"E7_P6_M11","NK"
"E8_P1_M11","NK"
"E8_P2_M11","T_cell"
"E8_P5_M11","T_cell"
"E9_P1_M11","T_cell"
"E9_P3_M11","NK"
"E9_P5_M11","T_cell"
"F10_P1_M11","T_cell"
"F10_P2_M11","T_cell"
"F10_P3_M11","NK"
"F10_P4_M11","T_cell"
"F10_P5_M11","NK"
"F10_P6_M11","NK"
"F11_P3_M11","T_cell"
"F11_P6_M11","T_cell"
"F12_P6_M11","Myeloid"
"F2_P1_M11","T_cell"
"F3_P1_M11","NK"
"F3_P4_M11","T_cell"
"F3_P5_M11","NK"
"F4_P1_M11","T_cell"
"F4_P3_M11","T_cell"
"F4_P5_M11","T_cell"
"F4_P6_M11","T_cell"
"F5_P1_M11","NK"
"F5_P5_M11","NK"
"F6_P1_M11","T_cell"
"F6_P2_M11","T_cell"
"F6_P4_M11","T_cell"
"F6_P5_M11","T_cell"
"F7_P1_M11","T_cell"
"F7_P2_M11","T_cell"
"F7_P3_M11","T_cell"
"F8_P1_M11","T_cell"
"F8_P2_M11","T_cell"
"F8_P3_M11","T_cell"
"F8_P4_M11","NK"
"F8_P5_M11","NK"
"F9_P1_M11","NK"
"F9_P4_M11","T_cell"
"F9_P6_M11","NK"
"G10_P3_M11","T_cell"
"G10_P5_M11","T_cell"
"G10_P6_M11","T_cell"
"G11_P3_M11","T_cell"
"G11_P6_M11","T_cell"
"G12_P3_M11","NK"
"G12_P4_M11","T_cell"
"G12_P5_M11","T_cell"
"G12_P6_M11","T_cell"
"G1_P1_M11","T_cell"
"G1_P2_M11","T_cell"
"G1_P3_M11","T_cell"
"G1_P4_M11","NK"
"G2_P1_M11","T_cell"
"G2_P3_M11","T_cell"
"G2_P5_M11","T_cell"
"G2_P6_M11","T_cell"
"G3_P3_M11","T_cell"
"G3_P4_M11","NK"
"G3_P6_M11","NK"
"G4_P3_M11","T_cell"
"G4_P4_M11","T_cell"
"G4_P6_M11","T_cell"
"G5_P4_M11","T_cell"
"G5_P6_M11","T_cell"
"G6_P1_M11","T_cell"
"G6_P2_M11","T_cell"
"G6_P3_M11","T_cell"
"G6_P4_M11","T_cell"
"G6_P6_M11","T_cell"
"G7_P2_M11","T_cell"
"G7_P4_M11","NK"
