"cell","tumor","malignant","celltype"
"CY58_1_CD45_A02_S962_comb",58,1,1
"cy79-p5-CD45-pos-PD1-pos-E08-S632-comb",79,0,1
"cy81-Bulk-CD45-neg-E02-S146-comb",81,2,0
"cy79-p3-CD45-neg-PDL1-neg-G03-S267-comb",79,2,0
"cy79-p3-CD45-neg-PDL1-neg-E02-S242-comb",79,2,0
"cy84_Primary_CD45_pos_E09_S441_comb",84,1,1
"cy88_cd_45_pos_C01_S409_comb",88,1,3
"cy60_1_cd_45_pos_4_E09_S57_comb",60,1,1
"cy88_cd_45_pos_H12_S480_comb",88,1,0
"CY88_3_D11_S623_comb",88,2,0
"CY89A_CD45_POS_6_D04_S136_comb",89,1,1
"CY89A_Core_15_F08_S68_comb",89,1,1
"CY89COREQ1_G02_S362_comb",89,1,3
"CY89FNAQ2_B12_S408_comb",89,1,0
"CY89FNAQ2_C11_S419_comb",89,0,0
"CY89FNAQ2_A03_S387_comb",89,0,0
"CY89FNAQ2_D06_S426_comb",89,2,0
"CY89FNAQ2_A06_S390_comb",89,1,0
"cy94_cd45neg_cd90pos_D02_S326_comb",94,1,1
"cy94_cd45pos_4_H03_S87_comb",94,1,1
"CY88CD45POS_2_H12_S480_comb",88,1,0
"monika_F4_S147_comb",75,1,1
"CY75_1_CD45_CD8_8__S312_comb",75,1,1
"CY75_1_CD45_CD8_7__S258_comb",75,1,1
"CY75_1_CD45_CD8_7__S265_comb",75,1,1
