"gene","logFC_unadjusted","P.Value_unadjusted","adj.P.Val_unadjusted","logFC_therapy_adjusted","P.Value_therapy_adjusted","adj.P.Val_therapy_adjusted"
"LTB",-0.720845448617712,7.03853350475804e-06,0.000246348672666531,-0.619441156683679,9.83040659021866e-05,0.00344064230657653
"CCL3",0.752969904924496,0.00279783163297017,0.0466264629003647,0.734822740286604,0.00839838965799866,0.0945749107828433
"CCL4",0.730657719867011,0.00450812783170698,0.0466264629003647,0.644387922568744,0.0188422083261595,0.107705363814908
"CXCL13",0.863506675513593,0.00532873861718453,0.0466264629003647,0.755269134052145,0.0249354374251471,0.109092538735019
"TYMP",0.618233347677881,0.0100943090467653,0.0706601633273572,0.749692983536664,0.00216585239810566,0.037902416966849
"CCL4L2",0.623878795624985,0.0131212864121674,0.0765408374043097,0.616919208995378,0.0215410727629816,0.107705363814908
"GPI",0.321306291179505,0.0155207142625382,0.0776035713126909,0.266572197318226,0.0636301189510465,0.126122954353652
"CD320",0.189361170675845,0.0223770648823033,0.097503133662866,0.178528842502982,0.0427331502988679,0.115050789266183
"FAM3C",0.414265394425332,0.0250722343704512,0.097503133662866,0.39074582262431,0.0549311206597165,0.12016182644313
"CMTM3",0.360404954288097,0.0361546171820536,0.107327068109873,0.380697163522496,0.053116827274271,0.12016182644313
"IL16",-0.354906639693231,0.0367978519233851,0.107327068109873,-0.376613412869901,0.0472393846936638,0.11809846173416
"XCL2",0.294626042289896,0.0345414125635783,0.107327068109873,0.197341657575705,0.162076380869752,0.257848787747333
"MIF",0.244106761436044,0.0440485145165729,0.110121286291432,0.251023369343282,0.0648632336675925,0.126122954353652
"TNFSF13B",0.414336702537897,0.0423229954777181,0.110121286291432,0.562691724892782,0.0108085612323249,0.0945749107828433
"TNFSF10",0.364751531544778,0.0481010267873025,0.112235729170373,0.422715617526198,0.0410738279260772,0.115050789266183
"CCL5",0.46579424686771,0.0555626075327351,0.121543203977858,0.281438570543973,0.246745866384996,0.338021389398383
"CXCL16",0.366353844067598,0.0796308307015274,0.146688372344919,0.492879825751806,0.0198009705251558,0.107705363814908
"FASLG",0.336782082270886,0.0782966755905463,0.146688372344919,0.233577283760445,0.257854705614022,0.338021389398383
"FLT3LG",-0.237344320721451,0.0716936783801225,0.146688372344919,-0.222450207201922,0.137166004787373,0.228610007978955
"IFNG",0.375362522887298,0.0861444856581173,0.150752849901705,0.318326476376375,0.195445203265977,0.289298726843656
"GMFB",0.179394678210686,0.0980688869832732,0.152427588890871,0.236929268440768,0.0364695031522252,0.115050789266183
"GRN",0.367318714034911,0.0992227324148523,0.152427588890871,0.511673013044938,0.0363573699915478,0.115050789266183
"TIMP1",0.411686370973065,0.100166701271144,0.152427588890871,0.57854747635853,0.0284257772814222,0.110544689427753
"CMTM7",0.175969958280098,0.11083477405909,0.161634045502839,0.215316201456202,0.0711010371225488,0.130975594699432
"HMGB1",0.111300948455655,0.130890436334544,0.183246610868361,0.0898136992504249,0.260759357535896,0.338021389398383
"RABEP1",-0.117466514058262,0.187374476678191,0.252234872451411,-0.108797559894732,0.277584461310681,0.346980576638351
"NAMPT",0.294322688034723,0.230667183957564,0.299013016241287,0.392795740295416,0.121383662722732,0.21242140976478
"IL32",0.242121532837744,0.284745471302685,0.355931839128357,0.110031909564253,0.651981581038431,0.671157509892502
"GMFG",0.114421901150254,0.321524924484961,0.388047322654264,0.13731483274556,0.288906033067713,0.348679695081723
"CKLF",0.132687745430725,0.449886072462259,0.524867084539302,0.103801054296477,0.603889946473721,0.640489337169098
"TNF",0.121586067445353,0.528327806616836,0.577858538487164,0.203732828200112,0.350365583259529,0.408759847136117
"TNFSF8",0.0774060944629583,0.525364286390429,0.577858538487164,0.0887230817719252,0.52073434014025,0.569553184528398
"TNFSF9",0.108789397243251,0.578925230672699,0.614011608289226,0.167882247079365,0.442984754977996,0.500144078200963
"AREG",0.0896349343507264,0.696292225018092,0.71677140810686,0.285341285940035,0.19837626983565,0.289298726843656
"AIMP1",0.0125952439670723,0.900007977065293,0.900007977065293,0.0281446754063099,0.805201720642116,0.805201720642116
