"gene","kw_stat","p_value","dominant_compartment","fdr"
"CCL5",44.4628220547244,1.20341935501554e-09,"NK",2.22732713773494e-08
"IL32",44.3483132869615,1.27275836441996e-09,"T_cell",2.22732713773494e-08
"XCL2",42.1157027649676,3.79158603243011e-09,"NK",4.27197827507995e-08
"FASLG",41.480386200003,5.17160273881397e-09,"NK",4.27197827507995e-08
"GRN",41.1414131765646,6.10282610725707e-09,"Myeloid",4.27197827507995e-08
"IFNG",40.0728776838557,1.02827389886435e-08,"NK",5.99826441004203e-08
"FLT3LG",36.5468357264023,5.73786539540568e-08,"T_cell",2.7449604685588e-07
"CXCL13",36.3633420733247,6.27419535670584e-08,"T_cell",2.7449604685588e-07
"TIMP1",33.3822842749177,2.67483545808439e-07,"Myeloid",1.04021378925504e-06
"CMTM3",32.3656643958502,4.38241028256469e-07,"Myeloid",1.53384359889764e-06
"CXCL16",31.8254086000584,5.69615434542316e-07,"Myeloid",1.81241274627101e-06
"CCL4L2",31.095790440288,8.11471610288937e-07,"NK",2.18698687709772e-06
"CCL4",31.0936621956192,8.1230941149344e-07,"NK",2.18698687709772e-06
"CCL3",30.931325640304,8.7882579822597e-07,"Myeloid",2.19706449556493e-06
"TNFSF10",30.5036037150973,1.08127876512198e-06,"Myeloid",2.52298378528462e-06
"CMTM7",29.7220755650883,1.57888289087763e-06,"Myeloid",3.45380632379481e-06
"LTB",29.0526413480492,2.18310943998592e-06,"B_cell",4.49463708232396e-06
"TNFSF13B",28.6262309961354,2.68324927605094e-06,"Myeloid",5.21742914787683e-06
"GPI",28.4882217195356,2.86844607080949e-06,"Myeloid",5.28397960412274e-06
"CKLF",28.2891697565974,3.15823959620509e-06,"Myeloid",5.5269192933589e-06
"TYMP",26.205233633498,8.6388097514697e-06,"Myeloid",1.37876294744066e-05
"NAMPT",26.1985949860627,8.66650995534131e-06,"Myeloid",1.37876294744066e-05
"TNFSF8",21.9658329708569,6.6307674163227e-05,"T_cell",0.000100902982422302
"AIMP1",21.137984221815,9.8553142804818e-05,"Myeloid",0.000143723333257026
"GMFG",18.4754654434304,0.000350899195331644,"Myeloid",0.000491258873464302
"CD320",18.2420101897767,0.000392080946204962,"NK",0.000527801273737448
"MIF",13.3251081113938,0.0039837781253103,"Myeloid",0.00516415682910594
"AREG",11.425751569569,0.00963298373838837,"Myeloid",0.0120412296729855
"TNF",10.8884633350641,0.0123445414680635,"Myeloid",0.0148985845304215
"TNFSF9",10.4009423926919,0.0154481401623771,"NK",0.0180228301894399
"FAM3C",10.2364854284472,0.0166592745899431,"T_cell",0.0188088584080003
"IL16",9.78669600291769,0.0204690951289757,"B_cell",0.0223880727973172
"GMFB",9.4345152687596,0.0240383099823035,"Myeloid",0.0254951772539583
"HMGB1",8.26417496678508,0.0408561480426158,"T_cell",0.0420577994556339
"RABEP1",4.03119274220859,0.25811551731061,"B_cell",0.25811551731061
