"compartment","gene","logFC","P.Value","adj.P.Val","fdr_global"
"B_cell","TYMP",1.07234959981467,0.000462307116853443,0.00416076405168098,0.0070739980565688
"T_cell","LTB",-0.604588082165021,0.000523999856042133,0.0047159987043792,0.0070739980565688
"T_cell","CCL4",0.776915220098036,0.00182856019860203,0.00626997113568139,0.0141074350552831
"T_cell","CXCL13",0.985152024263585,0.00208999037856046,0.00626997113568139,0.0141074350552831
"B_cell","FAM3C",0.528481656578428,0.00474915737974631,0.0213712082088584,0.0222584834810204
"T_cell","CCL3",0.719225835495253,0.00494632966244898,0.0111292417405102,0.0222584834810204
"T_cell","FAM3C",0.582774415532249,0.00909428658845219,0.0163697158592139,0.0350779625554585
"T_cell","GPI",0.292806646700103,0.0206829204182549,0.0245501642931141,0.058920394303474
"T_cell","CCL4L2",0.609679557636418,0.020931489033382,0.0245501642931141,0.058920394303474
"T_cell","TYMP",0.499364584108227,0.0218223682605459,0.0245501642931141,0.058920394303474
"NK","CD320",0.418582370874877,0.0701871461137973,0.388036566434158,0.168705392141405
"T_cell","CD320",0.188111060648933,0.074980174285069,0.074980174285069,0.168705392141405
"B_cell","CD320",0.532664988485764,0.0837227674411973,0.251168302323592,0.173885747762487
"NK","TYMP",0.387042601453441,0.126380375854323,0.388036566434158,0.232821939860495
"NK","GPI",0.336382106252768,0.129345522144719,0.388036566434158,0.232821939860495
"B_cell","CXCL13",0.0272627370651257,0.197925497918256,0.445332370316075,0.333999277737056
"NK","CXCL13",0.415494361169739,0.217373559687846,0.460811612581469,0.345240359504227
"NK","FAM3C",0.316085782504068,0.256006451434149,0.460811612581469,0.367813798039339
"B_cell","LTB",-0.493243083648549,0.258831931953609,0.465897477516495,0.367813798039339
"NK","LTB",-0.266879956831856,0.310148947154319,0.465223420731478,0.418701078658331
"B_cell","GPI",0.222491147755142,0.348818106987865,0.523227160481798,0.448480423270112
"NK","CCL4L2",0.181705342929568,0.459810256683148,0.591184615735476,0.5643125877475
"NK","CCL4",0.165408409655096,0.528520995024133,0.59458611940215,0.620437689810939
"B_cell","CCL4",0.0488074505246234,0.558870354757196,0.718547598973538,0.628729149101846
"B_cell","CCL3",-0.0392998931175235,0.731477904054207,0.822912642060983,0.769312252448245
"NK","CCL3",0.0965349212592594,0.740819206061273,0.740819206061273,0.769312252448245
"B_cell","CCL4L2",0,1,1,1
