"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank"
"Myeloid","Myeloid","SERPINA1","LRP1",2.76942438022127e-07,81.5,0.950388275844503,9,2.1885127861131,1,2.66464188793153,3,0.905846832693849,313
"Myeloid","Myeloid","VCAN","TLR2",3.79811501315076e-07,158.5,0.975534771922307,2,1.94301586006053,10,2.39068058207021,5,0.883306054269779,617
"Myeloid","Myeloid","CD14","TLR4",1.86319027921178e-06,252.25,0.947321456602003,11,1.73309139864293,17,2.13581298874428,13,0.855250347456759,968
"Myeloid","Myeloid","SERPING1","LRP1",2.6000587468829e-06,165.25,0.915726272846772,19,1.95150761217785,9,2.26309317328968,9,0.882772196580923,624
"Myeloid","Myeloid","C1QB","LRP1",3.03192371823673e-06,256.75,0.935918009273746,15,1.70055796424591,20,2.08304035325847,16,0.854566060822886,976
"Myeloid","Myeloid","S100A8","CD36",3.50907033238829e-06,210.5,0.917726397118196,18,1.6963916557836,21,2.34522042071138,7,0.867912652582119,796
"Myeloid","Myeloid","S100A9","CD36",3.50907033238829e-06,176.25,0.90405511364068,21,1.76132832003801,15,2.43651605839137,4,0.879208308398749,665
"Myeloid","Myeloid","S100A9","TLR4",7.44835699476714e-06,284,0.940247669376881,12,1.64651021295891,27,2.05787580034093,18,0.847936051824146,1079
"Myeloid","Myeloid","S100A8","CD68",8.30517996762004e-06,90.5,0.855328178894128,28,1.98229102235002,7,2.70701075864695,2,0.904847066611426,325
"Myeloid","Myeloid","S100A9","CD68",1.02105745625909e-05,64,0.84258643578127,30,2.04722768660444,4,2.79830639632694,1,0.913299737559032,221
"Myeloid","B_cell","TNFSF13","TNFRSF17",1.12635994868773e-05,267.25,0.842292387748436,31,2.03626685075404,5,2.00714637715952,21,0.852117448740629,1012
"Myeloid","Myeloid","S100A8","TLR4",1.35814230658158e-05,336,0.954466263169642,6,1.58157354870449,33,1.96658016266094,22,0.834267269248442,1283
"Myeloid","Myeloid","PLAU","LRP1",1.61964132652367e-05,333,0.867184721045818,26,1.63308387042468,28,1.8444006376787,35,0.837023412712874,1243
"Myeloid","B_cell","FN1","CD79A",1.91263044743065e-05,215,0.824554683551311,37,2.17984966933801,2,2.14178897721422,12,0.867030355275963,809
"Myeloid","Myeloid","FN1","C5AR1",2.23887995543886e-05,335.75,0.873105533170003,24,1.53178229185514,39,1.88267518001506,30,0.836549806424733,1250
"Myeloid","Myeloid","PLAU","PLAUR",3.21160697288119e-05,238,0.79478908578222,44,1.68069072548935,23,2.19850761496919,10,0.862098646250864,875
"Myeloid","Myeloid","CXCL9","FCGR2A",3.43484637173002e-05,476.75,0.794544390119621,45,1.50579734963268,42,1.82209965504307,40,0.805497656459725,1780
"Myeloid","B_cell","TNFSF13B","TNFRSF17",3.66816332080198e-05,220,0.788715540808546,46,2.00734389003028,6,2.03417132104403,20,0.867063682271662,808
"Myeloid","Myeloid","GRN","TNFRSF1A",3.71917097092256e-05,113,0.383028375157896,192,1.43566720750819,48,1.9251593228993,24,0.915710772843007,188
"Myeloid","Myeloid","FN1","PLAUR",3.91177723390078e-05,218.25,0.785309995628316,47,1.67623036776409,24,2.27241817686098,8,0.868077701954482,794
