"compartment","TF","logFC","P.Value","adj.P.Val","fdr_global"
"B_cell","ZFX",-1.67449381945784,9.56926900133638e-05,0.00535879064074837,0.00917116357606065
"T_cell","SREBF2",1.26694011312201,0.000156764191683727,0.00382131815669194,0.00917116357606065
"B_cell","IKZF3",-1.74250252294265,0.000228856564449264,0.00640798380457939,0.00917116357606065
"T_cell","OLIG2",0.985615707460049,0.000254348659459818,0.00382131815669194,0.00917116357606065
"T_cell","TBX10",1.36002396458099,0.000315537101877925,0.00382131815669194,0.00917116357606065
"T_cell","SMARCA1",1.1505958306824,0.000439916483372135,0.00382131815669194,0.00917116357606065
"T_cell","PML",0.917686836175308,0.00046741049003641,0.00382131815669194,0.00917116357606065
"T_cell","ZNF395",1.04359262726165,0.000472029273390037,0.00382131815669194,0.00917116357606065
"T_cell","SREBF1",1.26236191311329,0.000508157141090186,0.00382131815669194,0.00917116357606065
"B_cell","IKZF2",-1.98003653223695,0.000621561768820089,0.0116024863513083,0.00917116357606065
"T_cell","PARK7",0.619700998181704,0.00067153904966118,0.00382131815669194,0.00917116357606065
"T_cell","KAT6A",0.817877634105454,0.000702191291552467,0.00382131815669194,0.00917116357606065
"T_cell","TLX2",0.567482145929629,0.000775193453889009,0.00382131815669194,0.00917116357606065
"T_cell","KAT6B",0.791209603558636,0.000785291048237799,0.00382131815669194,0.00917116357606065
"T_cell","TFAP2A",1.05999193243731,0.000818853890719701,0.00382131815669194,0.00917116357606065
"T_cell","STOX1",0.87916923263216,0.00120978729473406,0.00487900512679663,0.0120540126662034
"T_cell","E2F1",2.6789343605846,0.00121975128169916,0.00487900512679663,0.0120540126662034
"T_cell","E2F4",2.49821479193659,0.00136443474472531,0.00509388971364115,0.0127347242841029
"T_cell","EHF",0.678495704164969,0.00159562051803751,0.0055846718131313,0.0141086445805422
"T_cell","SNAI2",-0.573344547919988,0.00194760301584415,0.00641563346395722,0.0163598653330909
"T_cell","E2F5",0.784536356036041,0.00229685420987541,0.00714576865294571,0.0183748336790032
"T_cell","IRF3",1.46131162035246,0.00245643426743072,0.00724001678821687,0.0187582253149255
"T_cell","EP300",1.10043957593222,0.00274163922938834,0.00767658984228736,0.0200258865450975
"T_cell","E2F2",1.75683260313219,0.00311303918079066,0.00792535016238185,0.0209229244286881
"T_cell","BACH1",0.514153165848313,0.00311353042093573,0.00792535016238185,0.0209229244286881
"T_cell","E2F3",1.80665435469524,0.00408114744351164,0.0092643671348609,0.0250137912641244
"T_cell","CEBPZ",0.818113367575215,0.00410634370166319,0.0092643671348609,0.0250137912641244
"T_cell","HCFC1",0.861152520617528,0.00422720977590156,0.0092643671348609,0.0250137912641244
"T_cell","VDR",0.557047979313536,0.00432182975360797,0.0092643671348609,0.0250137912641244
"T_cell","SIM2",0.542680434804761,0.00446674844002222,0.0092643671348609,0.0250137912641244
"T_cell","CTBP1",-0.627252654168853,0.00494158342656463,0.00988316685312927,0.0267801940536406
"NK","ZNF395",0.945951285109791,0.00526859683465749,0.099792857626051,0.0270454320110903
"T_cell","ESR1",1.26334471050019,0.00531249557360702,0.0102586121421377,0.0270454320110903
"T_cell","NFIA",0.520536295059504,0.00568501288298701,0.0104286220402592,0.0277103385641174
"T_cell","SP3",0.898407836239802,0.00577298720085779,0.0104286220402592,0.0277103385641174
"T_cell","IRF2",1.05067077982087,0.00596724863958291,0.0104426851192701,0.0278471603180536
"NK","SREBF1",1.09062539378732,0.00663242998434924,0.099792857626051,0.0301148172262344
"T_cell","ELF4",0.650540536089509,0.0071840095320159,0.0119698291863751,0.0306544405992533
"NK","IRF3",1.14577000440032,0.00725797826558928,0.099792857626051,0.0306544405992533
"T_cell","IKZF3",-0.519899745121803,0.00743291119382268,0.0119698291863751,0.0306544405992533
"T_cell","DNMT1",0.796852267952117,0.00748114324148445,0.0119698291863751,0.0306544405992533
"NK","TLX2",0.776097679933426,0.00801842009455407,0.099792857626051,0.0320736803782163
"T_cell","NFE2",0.426571244304158,0.00844387994562051,0.0131349243598541,0.0329900425782383
"NK","IRF2",1.16093635219728,0.00891007657375456,0.099792857626051,0.0340202923725174
"T_cell","POU1F1",0.452661676613638,0.00988313724733117,0.0146158918963095,0.0362219929604191
"T_cell","MEIS2",0.434065099067347,0.00991792664392429,0.0146158918963095,0.0362219929604191
"T_cell","KLF15",0.45055075710982,0.0116011266671129,0.0166580280348288,0.0414678570228716
"T_cell","KLF3",-0.470518646808356,0.0125043679403949,0.0171036233969327,0.0431011309602705
"T_cell","SATB2",-0.492742295757184,0.0125737070226678,0.0171036233969327,0.0431011309602705
"T_cell","ARID3B",0.487936307924782,0.0128277175476996,0.0171036233969327,0.0431011309602705
"T_cell","NR1H4",0.476279469318382,0.013675712946766,0.0178102308143929,0.0450494073540527
"T_cell","ZBTB14",0.361815732498943,0.0157463809012712,0.0200408484197997,0.0508729229117993
"T_cell","PDX1",0.505356010760333,0.0169042009657359,0.0210363389795824,0.0535831275895023
"NK","STOX1",0.749519750233021,0.0192738892745207,0.145305007711978,0.0599632110762866
"B_cell","E2F5",0.828288505825445,0.020523887357507,0.287334423005098,0.0618614056093951
"T_cell","NFE2L2",0.883558621700955,0.020620468536465,0.0251031790878705,0.0618614056093951
"NK","TFAP2A",1.05996378795785,0.0220876391878728,0.145305007711978,0.0651004102379408
"NK","HCFC1",0.946156198298312,0.0230856581427969,0.145305007711978,0.0668688028963773
"T_cell","MAF",0.364025928161254,0.0272714377389255,0.0324936279442517,0.0776542633921948
"NK","PML",0.657684120111877,0.0301901527479447,0.145305007711978,0.0833473140770825
"NK","E2F4",1.88223810165334,0.0302630128494169,0.145305007711978,0.0833473140770825
"NK","DNMT1",0.981584251878142,0.0318786638918288,0.145305007711978,0.0853098962514817
